InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV021760,SC5369,PARTY BUNTING,7,2024-12-13 00:00:00,27.87,,Belgium
INV020362,SC3469,REGENCY CAKESTAND 3 TIER,2,2024-12-07 00:00:00,11.65,2014.0,Germany
INV020168,SC4015,PARTY BUNTING,2,2024-11-25 00:00:00,28.01,2006.0,Germany
INV023157,SC4085,REGENCY CAKESTAND 3 TIER,6,2024-09-28 00:00:00,13.64,2152.0,United Kingdom
INV024299,SC8875,REGENCY CAKESTAND 3 TIER,3,2024-11-02 00:00:00,61.01,2274.0,United Kingdom
INV020573,SC2201,LUNCH BAG RED RETROSPOT,6,2024-12-10 00:00:00,48.03,2022.0,United Kingdom
INV023904,SC2751,REGENCY CAKESTAND 3 TIER,1,2024-10-04 00:00:00,77.33,2214.0,Germany
INV020038,SC8354,GLASS STAR FROSTED T-LIGHT HOLDER,8,2024-12-02 00:00:00,8.03,2001.0,United Kingdom
INV023429,SC4171,GLASS STAR FROSTED T-LIGHT HOLDER,3,2024-11-29 00:00:00,73.4,2172.0,France
INV023809,SC5955,JUMBO BAG RED RETROSPOT,5,2024-10-20 00:00:00,3.88,2200.0,United Kingdom
INV024757,SC1113,CREAM CUPID HEARTS COAT HANGER,4,2024-08-31 00:00:00,46.12,2342.0,United Kingdom
INV020501,SC8795,ASSORTED COLOUR BIRD ORNAMENT,2,2024-12-12 00:00:00,79.67,2019.0,Germany
INV020880,SC6997,JUMBO BAG RED RETROSPOT,8,2024-12-02 00:00:00,11.8,2035.0,United Kingdom
INV023116,SC3522,ASSORTED COLOUR BIRD ORNAMENT,6,2024-11-13 00:00:00,34.88,2150.0,United Kingdom
INV020272,SC5002,ASSORTED COLOUR BIRD ORNAMENT,4,2024-11-16 00:00:00,39.58,2010.0,United Kingdom
INV021611,SC7571,REGENCY CAKESTAND 3 TIER,4,2024-12-05 00:00:00,14.82,2061.0,France
INV020382,SC8442,PACK OF 72 RETROSPOT CAKE CASES,1,2024-12-05 00:00:00,58.09,2014.0,United Kingdom
INV022463,SC7743,GLASS STAR FROSTED T-LIGHT HOLDER,2,2024-11-11 00:00:00,79.02,2103.0,United Kingdom
INV022306,SC5634,JUMBO BAG RED RETROSPOT,2,2024-11-11 00:00:00,73.58,2091.0,United Kingdom
INV020076,SC5464,WHITE HANGING HEART T-LIGHT HOLDER,5,2024-11-18 00:00:00,75.68,2003.0,France
INV023195,SC2532,LUNCH BAG RED RETROSPOT,4,2024-10-03 00:00:00,15.82,2155.0,Spain
INV024216,SC1847,WHITE HANGING HEART T-LIGHT HOLDER,4,2024-10-26 00:00:00,47.6,2261.0,France
INV024795,SC4605,VINTAGE UNION JACK MEMOBOARD,2,2024-09-21 00:00:00,-2.5,2346.0,United Kingdom
INV022876,SC3888,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-09-13 00:00:00,0.0,2133.0,United Kingdom
INV022559,SC4189,PARTY BUNTING,9,2024-10-25 00:00:00,73.97,2109.0,Germany
INV020859,SC2229,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-12-08 00:00:00,11.56,2034.0,United Kingdom
INV024891,SC2961,,3,2024-05-18 00:00:00,41.93,2376.0,United Kingdom
INV023179,SC2447,REGENCY CAKESTAND 3 TIER,4,2024-12-02 00:00:00,56.66,2153.0,United Kingdom
INV021033,SC2849,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-12-13 00:00:00,67.03,2040.0,United Kingdom
INV023640,SC9775,JUMBO BAG RED RETROSPOT,6,2024-10-03 00:00:00,18.91,2187.0,France
INV022844,SC5806,VINTAGE UNION JACK MEMOBOARD,6,2024-09-28 00:00:00,18.58,2130.0,United Kingdom
INV025066,SC6779,VINTAGE UNION JACK MEMOBOARD,3,2024-07-02 00:00:00,15.9,2435.0,United Kingdom
INV024030,SC6609,LUNCH BAG RED RETROSPOT,3,2024-10-09 00:00:00,19.12,2234.0,United Kingdom
INV023996,SC9387,ASSORTED COLOUR BIRD ORNAMENT,3,2024-08-17 00:00:00,16.82,2229.0,Germany
INV024767,SC5495,PARTY BUNTING,4,2024-09-21 00:00:00,6.04,2343.0,United Kingdom
INV023415,SC5776,CREAM CUPID HEARTS COAT HANGER,3,2024-09-17 00:00:00,54.78,2171.0,Spain
INV020298,SC5988,VINTAGE UNION JACK MEMOBOARD,5,2024-12-12 00:00:00,6.87,,United Kingdom
INV023313,SC4162,VINTAGE UNION JACK MEMOBOARD,3,2024-12-10 00:00:00,8.69,2163.0,United Kingdom
INV020873,SC9198,LUNCH BAG RED RETROSPOT,3,2024-12-17 00:00:00,20.83,2035.0,United Kingdom
CINV024275,SC2458,PACK OF 72 RETROSPOT CAKE CASES,-5,2024-11-18 00:00:00,62.05,2270.0,United Kingdom
INV021234,SC9658,ASSORTED COLOUR BIRD ORNAMENT,1,2024-11-30 00:00:00,59.55,2048.0,United Kingdom
INV020739,SC4558,LUNCH BAG RED RETROSPOT,8,2024-12-18 00:00:00,76.54,2029.0,United Kingdom
INV024454,SC4249,LUNCH BAG RED RETROSPOT,2,2024-07-27 00:00:00,43.32,2297.0,United Kingdom
INV020965,SC1517,CREAM CUPID HEARTS COAT HANGER,5,2024-12-16 00:00:00,77.1,2038.0,United Kingdom
INV021379,SC2966,LUNCH BAG RED RETROSPOT,1,2024-11-21 00:00:00,16.3,,United Kingdom
INV023224,SC5555,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-11-08 00:00:00,67.01,2157.0,United Kingdom
INV021462,SC7484,CREAM CUPID HEARTS COAT HANGER,2,2024-11-21 00:00:00,59.08,2056.0,United Kingdom
INV023232,SC6418,CREAM CUPID HEARTS COAT HANGER,4,2024-10-15 00:00:00,25.63,2157.0,Netherlands
INV024157,SC4116,REGENCY CAKESTAND 3 TIER,2,2024-07-24 00:00:00,3.68,2254.0,Germany
INV024994,SC6462,LUNCH BAG RED RETROSPOT,6,2024-07-01 00:00:00,64.64,2411.0,United Kingdom
INV021657,SC5009,CREAM CUPID HEARTS COAT HANGER,2,2024-12-19 00:00:00,12.08,2063.0,France
INV023088,SC9579,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-11-28 00:00:00,12.3,2148.0,United Kingdom
INV020710,SC2881,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-11-19 00:00:00,80.0,2027.0,United Kingdom
INV023141,SC5107,JUMBO BAG RED RETROSPOT,4,2024-11-10 00:00:00,75.01,2151.0,United Kingdom
INV024318,SC2911,LUNCH BAG RED RETROSPOT,1,2024-08-23 00:00:00,68.7,2277.0,United Kingdom
INV021790,SC4330,LUNCH BAG RED RETROSPOT,7,2024-11-14 00:00:00,64.84,2068.0,United Kingdom
INV024743,SC5906,VINTAGE UNION JACK MEMOBOARD,8,2024-10-16 00:00:00,77.03,2340.0,France
INV022995,SC2161,PARTY BUNTING,5,2024-11-19 00:00:00,30.22,,France
INV020874,SC8506,WHITE HANGING HEART T-LIGHT HOLDER,7,2024-12-20 00:00:00,60.18,2035.0,United Kingdom
INV023515,SC2736,CREAM CUPID HEARTS COAT HANGER,2,2024-09-10 00:00:00,46.48,2179.0,Netherlands
INV023622,SC7395,LUNCH BAG RED RETROSPOT,1,2024-12-04 00:00:00,22.66,2186.0,United Kingdom
INV023196,SC2405,PACK OF 72 RETROSPOT CAKE CASES,2,2024-11-11 00:00:00,29.7,2155.0,Spain
INV020544,SC8311,ASSORTED COLOUR BIRD ORNAMENT,7,2024-11-28 00:00:00,55.9,2021.0,Belgium
INV021555,SC8655,CREAM CUPID HEARTS COAT HANGER,5,2024-12-11 00:00:00,24.28,2059.0,United Kingdom
INV024712,SC2293,ASSORTED COLOUR BIRD ORNAMENT,9,2024-07-20 00:00:00,74.92,2334.0,Netherlands
INV025033,SC6106,VINTAGE UNION JACK MEMOBOARD,9,2024-09-26 00:00:00,3.45,2423.0,United Kingdom
INV022459,SC1766,,3,2024-10-22 00:00:00,38.29,2102.0,United Kingdom
INV020316,SC1399,CREAM CUPID HEARTS COAT HANGER,3,2024-11-14 00:00:00,29.46,2012.0,United Kingdom
INV024854,SC1540,PARTY BUNTING,6,2024-10-04 00:00:00,49.95,2362.0,France
INV021259,SC1856,LUNCH BAG RED RETROSPOT,2,2024-12-19 00:00:00,32.35,2049.0,United Kingdom
INV023012,SC7976,PACK OF 72 RETROSPOT CAKE CASES,5,2024-10-13 00:00:00,15.15,2142.0,Spain
INV020440,SC5371,JUMBO BAG RED RETROSPOT,7,2024-12-03 00:00:00,6.34,2017.0,Germany
CINV024280,SC8142,GLASS STAR FROSTED T-LIGHT HOLDER,-6,2024-10-04 00:00:00,21.61,2271.0,Germany
INV023984,SC7169,VINTAGE UNION JACK MEMOBOARD,7,2024-08-20 00:00:00,69.68,2228.0,Germany
INV023698,SC1878,GLASS STAR FROSTED T-LIGHT HOLDER,3,2024-10-13 00:00:00,63.92,,United Kingdom
INV020388,SC6370,PACK OF 72 RETROSPOT CAKE CASES,4,2024-11-13 00:00:00,11.77,2015.0,France
INV023118,SC7244,LUNCH BAG RED RETROSPOT,3,2024-11-03 00:00:00,52.11,2150.0,United Kingdom
CINV024686,SC1507,PACK OF 72 RETROSPOT CAKE CASES,-3,2024-09-19 00:00:00,68.82,2331.0,United Kingdom
INV021572,SC5633,PARTY BUNTING,7,2024-11-28 00:00:00,43.26,2060.0,United Kingdom
INV022481,SC2586,REGENCY CAKESTAND 3 TIER,8,2024-11-07 00:00:00,31.53,2104.0,United Kingdom
INV023085,SC5290,,7,2024-11-09 00:00:00,55.57,2148.0,Germany
INV021288,SC8853,PACK OF 72 RETROSPOT CAKE CASES,4,2024-11-24 00:00:00,74.58,2050.0,United Kingdom
CINV021085,SC3215,PARTY BUNTING,-5,2024-12-19 00:00:00,13.89,2042.0,United Kingdom
INV024679,SC2553,CREAM CUPID HEARTS COAT HANGER,5,2024-07-05 00:00:00,15.86,2330.0,France
INV020534,SC4877,GLASS STAR FROSTED T-LIGHT HOLDER,5,2024-11-18 00:00:00,37.28,2020.0,United Kingdom
INV023455,SC1083,PARTY BUNTING,6,2024-10-09 00:00:00,55.99,2175.0,France
INV024667,SC1121,VINTAGE UNION JACK MEMOBOARD,8,2024-07-18 00:00:00,42.8,2328.0,United Kingdom
INV020367,SC6868,CREAM CUPID HEARTS COAT HANGER,2,2024-12-12 00:00:00,14.73,2014.0,United Kingdom
INV022231,SC8840,REGENCY CAKESTAND 3 TIER,3,2024-10-20 00:00:00,25.21,2086.0,United Kingdom
INV020357,SC1649,PARTY BUNTING,9,,65.99,2014.0,France
CINV020172,SC5056,ASSORTED COLOUR BIRD ORNAMENT,-1,2024-12-01 00:00:00,9.44,2006.0,United Kingdom
INV024147,SC3304,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-10-24 00:00:00,79.74,2252.0,United Kingdom
INV022800,SC4144,WHITE HANGING HEART T-LIGHT HOLDER,5,2024-10-31 00:00:00,79.37,2127.0,Spain
INV024759,SC7944,CREAM CUPID HEARTS COAT HANGER,8,2024-09-03 00:00:00,68.37,2342.0,United Kingdom
INV021627,SC6803,REGENCY CAKESTAND 3 TIER,1,2024-11-22 00:00:00,-1.0,2062.0,United Kingdom
INV021082,SC2501,REGENCY CAKESTAND 3 TIER,1,2024-12-08 00:00:00,-1.0,2042.0,France
INV024685,SC2981,PACK OF 72 RETROSPOT CAKE CASES,6,2024-09-07 00:00:00,10.69,2331.0,France
INV022566,SC1387,VINTAGE UNION JACK MEMOBOARD,5,2024-10-30 00:00:00,19.59,2110.0,Germany
INV021578,SC2055,PARTY BUNTING,3,2024-11-22 00:00:00,53.86,2060.0,Netherlands
INV023185,SC4694,ASSORTED COLOUR BIRD ORNAMENT,4,2024-10-05 00:00:00,3.86,2154.0,Spain
INV022653,SC9708,PARTY BUNTING,8,2024-11-28 00:00:00,36.88,2117.0,Germany
INV022510,SC3012,LUNCH BAG RED RETROSPOT,7,2024-12-10 00:00:00,57.35,2106.0,Spain
CINV024711,SC2721,GLASS STAR FROSTED T-LIGHT HOLDER,-5,2024-06-24 00:00:00,17.37,2334.0,United Kingdom
INV024388,SC9012,REGENCY CAKESTAND 3 TIER,8,2024-07-28 00:00:00,74.45,2286.0,United Kingdom
INV023070,SC4353,PACK OF 72 RETROSPOT CAKE CASES,6,2024-10-28 00:00:00,6.09,,United Kingdom
INV021469,SC5572,VINTAGE UNION JACK MEMOBOARD,8,2024-11-12 00:00:00,61.28,2057.0,Belgium
INV021864,SC8882,VINTAGE UNION JACK MEMOBOARD,1,2024-11-19 00:00:00,75.81,,Germany
CINV022032,SC1241,LUNCH BAG RED RETROSPOT,-5,2024-11-17 00:00:00,18.9,2076.0,United Kingdom
INV020792,SC1701,VINTAGE UNION JACK MEMOBOARD,5,2024-11-20 00:00:00,32.33,2030.0,United Kingdom
INV020320,SC3631,PACK OF 72 RETROSPOT CAKE CASES,4,2024-11-18 00:00:00,62.69,2012.0,United Kingdom
INV025036,SC3668,LUNCH BAG RED RETROSPOT,8,2024-06-24 00:00:00,67.72,2424.0,United Kingdom
INV022068,SC1335,VINTAGE UNION JACK MEMOBOARD,8,2024-11-24 00:00:00,8.97,2078.0,Germany
INV024515,SC8970,PARTY BUNTING,8,2024-09-26 00:00:00,-1.0,2306.0,France
INV022551,SC1482,LUNCH BAG RED RETROSPOT,4,2024-11-28 00:00:00,70.03,2109.0,United Kingdom
INV022492,SC6167,REGENCY CAKESTAND 3 TIER,6,2024-11-16 00:00:00,7.04,2105.0,United Kingdom
INV021547,SC1489,WHITE HANGING HEART T-LIGHT HOLDER,3,2024-12-24 00:00:00,18.87,2059.0,United Kingdom
INV020344,SC8409,GLASS STAR FROSTED T-LIGHT HOLDER,8,2024-12-20 00:00:00,48.05,2013.0,Spain
INV024167,SC9899,GLASS STAR FROSTED T-LIGHT HOLDER,3,2024-09-16 00:00:00,27.24,2255.0,United Kingdom
INV023142,SC9560,ASSORTED COLOUR BIRD ORNAMENT,8,2024-11-16 00:00:00,69.21,2151.0,United Kingdom
INV022134,SC9875,VINTAGE UNION JACK MEMOBOARD,7,2024-12-05 00:00:00,74.63,2079.0,United Kingdom
INV020134,SC4828,PACK OF 72 RETROSPOT CAKE CASES,4,2024-12-13 00:00:00,42.6,2005.0,United Kingdom
INV024301,SC1531,,8,2024-11-08 00:00:00,28.71,2274.0,Germany
INV021563,SC6738,ASSORTED COLOUR BIRD ORNAMENT,4,2024-12-19 00:00:00,33.51,2060.0,France
INV021085,SC5474,JUMBO BAG RED RETROSPOT,5,2024-12-19 00:00:00,23.2,2042.0,United Kingdom
INV020755,SC8580,LUNCH BAG RED RETROSPOT,4,2024-12-12 00:00:00,61.31,2029.0,United Kingdom
INV023340,SC7534,CREAM CUPID HEARTS COAT HANGER,1,2024-09-25 00:00:00,12.39,2165.0,France
INV023325,SC3908,PACK OF 72 RETROSPOT CAKE CASES,1,2024-10-20 00:00:00,33.66,2164.0,United Kingdom
INV020642,SC8531,ASSORTED COLOUR BIRD ORNAMENT,2,2024-12-01 00:00:00,43.39,2024.0,United Kingdom
INV025084,SC4948,JUMBO BAG RED RETROSPOT,4,2024-05-24 00:00:00,52.19,,United Kingdom
INV024683,SC2782,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-09-23 00:00:00,15.06,2331.0,Germany
INV020608,SC8931,REGENCY CAKESTAND 3 TIER,1,2024-12-02 00:00:00,20.26,2023.0,Spain
INV024839,SC7001,ASSORTED COLOUR BIRD ORNAMENT,9,2024-07-28 00:00:00,77.73,2357.0,United Kingdom
INV020673,SC6848,REGENCY CAKESTAND 3 TIER,5,2024-11-04 00:00:00,20.9,2026.0,Netherlands
INV024319,SC6735,PACK OF 72 RETROSPOT CAKE CASES,4,2024-07-29 00:00:00,17.86,2277.0,France
INV020856,SC6642,REGENCY CAKESTAND 3 TIER,3,2024-11-14 00:00:00,63.29,2034.0,Netherlands
INV023549,SC3035,PARTY BUNTING,5,2024-09-26 00:00:00,16.05,2182.0,United Kingdom
INV023082,SC6810,PACK OF 72 RETROSPOT CAKE CASES,7,2024-11-05 00:00:00,9.51,2148.0,Germany
INV020138,SC7821,VINTAGE UNION JACK MEMOBOARD,9,2024-11-29 00:00:00,71.46,2005.0,United Kingdom
INV022764,SC3139,REGENCY CAKESTAND 3 TIER,6,2024-10-21 00:00:00,24.34,2124.0,United Kingdom
INV021957,SC6364,WHITE HANGING HEART T-LIGHT HOLDER,4,2024-12-18 00:00:00,54.43,2074.0,France
INV022117,SC9719,,4,2024-11-27 00:00:00,65.08,2079.0,United Kingdom
CINV024653,SC6553,ASSORTED COLOUR BIRD ORNAMENT,-3,2024-10-16 00:00:00,46.12,2326.0,United Kingdom
INV020583,SC5960,PACK OF 72 RETROSPOT CAKE CASES,4,2024-12-15 00:00:00,25.0,,United Kingdom
INV022994,SC2799,REGENCY CAKESTAND 3 TIER,3,2024-11-20 00:00:00,15.51,2141.0,France
INV021417,SC1826,LUNCH BAG RED RETROSPOT,8,,79.27,2054.0,Netherlands
INV022981,SC7547,PARTY BUNTING,5,2024-11-11 00:00:00,77.3,2140.0,United Kingdom
INV021349,SC8403,JUMBO BAG RED RETROSPOT,3,2024-11-10 00:00:00,46.93,2052.0,Belgium
INV022396,SC6418,VINTAGE UNION JACK MEMOBOARD,7,2024-11-06 00:00:00,26.83,2097.0,United Kingdom
INV020638,SC9025,ASSORTED COLOUR BIRD ORNAMENT,9,2024-11-24 00:00:00,21.47,2024.0,Netherlands
INV021833,SC3306,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-12-18 00:00:00,32.27,2069.0,United Kingdom
INV022797,SC2487,VINTAGE UNION JACK MEMOBOARD,7,2024-11-30 00:00:00,57.27,2126.0,United Kingdom
INV020874,SC3397,PARTY BUNTING,9,2024-12-20 00:00:00,16.59,2035.0,United Kingdom
INV023690,SC7800,,7,2024-11-19 00:00:00,10.66,2191.0,United Kingdom
INV022310,SC6868,REGENCY CAKESTAND 3 TIER,5,2024-11-11 00:00:00,12.8,2091.0,Belgium
INV024104,SC9612,CREAM CUPID HEARTS COAT HANGER,4,2024-09-21 00:00:00,27.66,2246.0,United Kingdom
INV021251,SC2705,CREAM CUPID HEARTS COAT HANGER,1,2024-11-19 00:00:00,39.85,2049.0,United Kingdom
INV021115,SC2496,GLASS STAR FROSTED T-LIGHT HOLDER,7,2024-11-11 00:00:00,70.46,2043.0,Spain
INV021300,SC5084,VINTAGE UNION JACK MEMOBOARD,5,2024-11-29 00:00:00,0.0,2050.0,United Kingdom
INV022492,SC6657,GLASS STAR FROSTED T-LIGHT HOLDER,8,2024-11-16 00:00:00,36.12,2105.0,United Kingdom
INV021365,SC1303,VINTAGE UNION JACK MEMOBOARD,4,2024-11-22 00:00:00,-1.0,2052.0,Belgium
INV025013,SC8715,ASSORTED COLOUR BIRD ORNAMENT,3,2024-08-10 00:00:00,19.16,2417.0,United Kingdom
INV024326,SC2673,ASSORTED COLOUR BIRD ORNAMENT,8,2024-09-04 00:00:00,66.89,2278.0,United Kingdom
INV023022,SC6447,JUMBO BAG RED RETROSPOT,4,2024-10-27 00:00:00,17.48,2143.0,United Kingdom
INV023686,SC9922,PARTY BUNTING,1,2024-12-05 00:00:00,-1.0,,United Kingdom
INV023760,SC2162,LUNCH BAG RED RETROSPOT,7,2024-10-26 00:00:00,11.29,2196.0,Germany
INV020350,SC9081,PACK OF 72 RETROSPOT CAKE CASES,6,2024-12-06 00:00:00,74.48,2013.0,United Kingdom
INV023670,SC2383,ASSORTED COLOUR BIRD ORNAMENT,6,2024-10-22 00:00:00,35.36,2189.0,United Kingdom
INV022444,SC9722,ASSORTED COLOUR BIRD ORNAMENT,6,2024-09-18 00:00:00,23.6,2100.0,Netherlands
INV020972,SC7195,PACK OF 72 RETROSPOT CAKE CASES,7,2024-11-12 00:00:00,-2.5,2038.0,United Kingdom
INV020273,SC2877,GLASS STAR FROSTED T-LIGHT HOLDER,3,,7.59,2010.0,United Kingdom
INV020906,SC4183,ASSORTED COLOUR BIRD ORNAMENT,9,2024-12-18 00:00:00,37.0,2035.0,France
CINV021565,SC5863,LUNCH BAG RED RETROSPOT,-5,2024-12-02 00:00:00,22.98,2060.0,United Kingdom
INV022540,SC5347,CREAM CUPID HEARTS COAT HANGER,8,2024-09-27 00:00:00,37.57,2108.0,United Kingdom
INV020799,SC5785,ASSORTED COLOUR BIRD ORNAMENT,9,2024-11-15 00:00:00,59.07,2031.0,United Kingdom
INV020866,SC2762,ASSORTED COLOUR BIRD ORNAMENT,1,2024-12-12 00:00:00,46.89,2034.0,United Kingdom
INV024452,SC6977,WHITE HANGING HEART T-LIGHT HOLDER,6,2024-09-02 00:00:00,2.79,2296.0,Germany
INV020143,SC5755,ASSORTED COLOUR BIRD ORNAMENT,4,2024-11-12 00:00:00,73.12,2005.0,United Kingdom
INV022789,SC5946,PARTY BUNTING,2,2024-10-29 00:00:00,50.4,2126.0,France
INV020328,SC5925,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-12-06 00:00:00,43.63,2012.0,Netherlands
INV025009,SC2250,WHITE HANGING HEART T-LIGHT HOLDER,1,2024-10-12 00:00:00,31.91,2416.0,United Kingdom
INV022559,SC8138,CREAM CUPID HEARTS COAT HANGER,9,2024-10-25 00:00:00,40.95,2109.0,United Kingdom
INV022710,SC2773,CREAM CUPID HEARTS COAT HANGER,3,2024-09-12 00:00:00,39.76,2121.0,United Kingdom
INV021860,SC2925,LUNCH BAG RED RETROSPOT,9,2024-12-18 00:00:00,73.02,2070.0,United Kingdom
INV021553,SC2630,CREAM CUPID HEARTS COAT HANGER,1,2024-11-23 00:00:00,-2.5,2059.0,United Kingdom
INV022174,SC5083,PARTY BUNTING,4,2024-11-23 00:00:00,74.06,2082.0,Spain
INV024594,SC3819,PARTY BUNTING,1,2024-09-25 00:00:00,54.79,2318.0,United Kingdom
INV023561,SC3931,REGENCY CAKESTAND 3 TIER,5,2024-09-24 00:00:00,67.94,2182.0,Spain
INV025022,SC2537,PARTY BUNTING,8,2024-04-22 00:00:00,4.12,2420.0,United Kingdom
INV022632,SC8026,PACK OF 72 RETROSPOT CAKE CASES,3,2024-10-12 00:00:00,28.51,2115.0,Germany
INV021642,SC4633,WHITE HANGING HEART T-LIGHT HOLDER,5,2024-12-03 00:00:00,-2.5,2062.0,United Kingdom
INV024530,SC2194,ASSORTED COLOUR BIRD ORNAMENT,5,2024-10-10 00:00:00,6.51,2309.0,Germany
INV023600,SC3814,CREAM CUPID HEARTS COAT HANGER,6,2024-10-23 00:00:00,41.15,2185.0,United Kingdom
INV020148,SC6649,VINTAGE UNION JACK MEMOBOARD,6,2024-11-13 00:00:00,37.67,2005.0,United Kingdom
INV024245,SC7360,GLASS STAR FROSTED T-LIGHT HOLDER,5,,33.27,2265.0,Germany
INV023697,SC5573,ASSORTED COLOUR BIRD ORNAMENT,1,2024-12-09 00:00:00,7.47,2191.0,France
INV021368,SC9663,LUNCH BAG RED RETROSPOT,3,2024-12-14 00:00:00,57.33,2052.0,United Kingdom
INV022924,SC8079,GLASS STAR FROSTED T-LIGHT HOLDER,1,2024-09-27 00:00:00,8.94,2137.0,United Kingdom
INV025169,SC3202,ASSORTED COLOUR BIRD ORNAMENT,1,2024-01-23 00:00:00,14.3,2492.0,Germany
INV020521,SC8476,REGENCY CAKESTAND 3 TIER,2,2024-12-04 00:00:00,11.78,2020.0,United Kingdom
INV022306,SC6886,LUNCH BAG RED RETROSPOT,7,2024-11-11 00:00:00,9.77,,Spain
INV023644,SC5557,LUNCH BAG RED RETROSPOT,5,2024-11-20 00:00:00,60.99,2187.0,United Kingdom
INV021574,SC4006,PARTY BUNTING,9,2024-11-29 00:00:00,56.57,2060.0,United Kingdom
INV022650,SC5577,REGENCY CAKESTAND 3 TIER,2,2024-10-29 00:00:00,64.65,2116.0,United Kingdom
INV020059,SC6526,PARTY BUNTING,4,2024-12-18 00:00:00,42.93,2002.0,United Kingdom
INV022429,SC7586,,3,2024-11-04 00:00:00,72.71,2099.0,United Kingdom
INV025177,SC5021,REGENCY CAKESTAND 3 TIER,3,2024-02-18 00:00:00,20.62,2497.0,Netherlands
INV022492,SC8689,,5,2024-11-16 00:00:00,16.33,2105.0,United Kingdom
